Day,Day_month,Month,Year,TSVALUE_UPDATED
1,1-Jan,Jan,1951,
2,2-Jan,Jan,1951,
3,3-Jan,Jan,1951,
4,4-Jan,Jan,1951,
5,5-Jan,Jan,1951,
6,6-Jan,Jan,1951,
7,7-Jan,Jan,1951,
8,8-Jan,Jan,1951,
9,9-Jan,Jan,1951,
10,10-Jan,Jan,1951,
11,11-Jan,Jan,1951,
12,12-Jan,Jan,1951,
13,13-Jan,Jan,1951,
14,14-Jan,Jan,1951,
15,15-Jan,Jan,1951,
16,16-Jan,Jan,1951,
17,17-Jan,Jan,1951,
18,18-Jan,Jan,1951,
19,19-Jan,Jan,1951,
20,20-Jan,Jan,1951,
21,21-Jan,Jan,1951,
22,22-Jan,Jan,1951,
23,23-Jan,Jan,1951,
24,24-Jan,Jan,1951,
25,25-Jan,Jan,1951,
26,26-Jan,Jan,1951,
27,27-Jan,Jan,1951,
28,28-Jan,Jan,1951,
29,29-Jan,Jan,1951,
30,30-Jan,Jan,1951,
31,31-Jan,Jan,1951,
1,1-Feb,Feb,1951,
2,2-Feb,Feb,1951,
3,3-Feb,Feb,1951,
4,4-Feb,Feb,1951,
5,5-Feb,Feb,1951,
6,6-Feb,Feb,1951,
7,7-Feb,Feb,1951,
8,8-Feb,Feb,1951,
9,9-Feb,Feb,1951,
10,10-Feb,Feb,1951,
11,11-Feb,Feb,1951,
12,12-Feb,Feb,1951,
13,13-Feb,Feb,1951,
14,14-Feb,Feb,1951,
15,15-Feb,Feb,1951,
16,16-Feb,Feb,1951,
17,17-Feb,Feb,1951,
18,18-Feb,Feb,1951,
19,19-Feb,Feb,1951,
20,20-Feb,Feb,1951,
21,21-Feb,Feb,1951,
22,22-Feb,Feb,1951,
23,23-Feb,Feb,1951,
24,24-Feb,Feb,1951,
25,25-Feb,Feb,1951,
26,26-Feb,Feb,1951,
27,27-Feb,Feb,1951,
28,28-Feb,Feb,1951,
1,1-Mar,Mar,1951,
2,2-Mar,Mar,1951,
3,3-Mar,Mar,1951,
4,4-Mar,Mar,1951,
5,5-Mar,Mar,1951,
6,6-Mar,Mar,1951,
7,7-Mar,Mar,1951,
8,8-Mar,Mar,1951,
9,9-Mar,Mar,1951,
10,10-Mar,Mar,1951,
11,11-Mar,Mar,1951,
12,12-Mar,Mar,1951,
13,13-Mar,Mar,1951,
14,14-Mar,Mar,1951,
15,15-Mar,Mar,1951,
16,16-Mar,Mar,1951,
17,17-Mar,Mar,1951,
18,18-Mar,Mar,1951,
19,19-Mar,Mar,1951,
20,20-Mar,Mar,1951,
21,21-Mar,Mar,1951,
22,22-Mar,Mar,1951,
23,23-Mar,Mar,1951,
24,24-Mar,Mar,1951,
25,25-Mar,Mar,1951,
26,26-Mar,Mar,1951,
27,27-Mar,Mar,1951,
28,28-Mar,Mar,1951,
29,29-Mar,Mar,1951,
30,30-Mar,Mar,1951,
31,31-Mar,Mar,1951,
1,1-Apr,Apr,1951,
2,2-Apr,Apr,1951,
3,3-Apr,Apr,1951,
4,4-Apr,Apr,1951,
5,5-Apr,Apr,1951,
6,6-Apr,Apr,1951,
7,7-Apr,Apr,1951,
8,8-Apr,Apr,1951,
9,9-Apr,Apr,1951,
10,10-Apr,Apr,1951,
11,11-Apr,Apr,1951,
12,12-Apr,Apr,1951,
13,13-Apr,Apr,1951,
14,14-Apr,Apr,1951,
15,15-Apr,Apr,1951,
16,16-Apr,Apr,1951,
17,17-Apr,Apr,1951,
18,18-Apr,Apr,1951,
19,19-Apr,Apr,1951,
20,20-Apr,Apr,1951,
21,21-Apr,Apr,1951,
22,22-Apr,Apr,1951,
23,23-Apr,Apr,1951,
24,24-Apr,Apr,1951,
25,25-Apr,Apr,1951,
26,26-Apr,Apr,1951,
27,27-Apr,Apr,1951,
28,28-Apr,Apr,1951,
29,29-Apr,Apr,1951,
30,30-Apr,Apr,1951,
1,1-May,May,1951,
2,2-May,May,1951,
3,3-May,May,1951,
4,4-May,May,1951,
5,5-May,May,1951,
6,6-May,May,1951,
7,7-May,May,1951,
8,8-May,May,1951,
9,9-May,May,1951,
10,10-May,May,1951,
11,11-May,May,1951,
12,12-May,May,1951,
13,13-May,May,1951,
14,14-May,May,1951,
15,15-May,May,1951,
16,16-May,May,1951,
17,17-May,May,1951,
18,18-May,May,1951,
19,19-May,May,1951,
20,20-May,May,1951,
21,21-May,May,1951,
22,22-May,May,1951,
23,23-May,May,1951,
24,24-May,May,1951,
25,25-May,May,1951,
26,26-May,May,1951,
27,27-May,May,1951,
28,28-May,May,1951,
29,29-May,May,1951,
30,30-May,May,1951,
31,31-May,May,1951,
1,1-Jun,Jun,1951,
2,2-Jun,Jun,1951,
3,3-Jun,Jun,1951,
4,4-Jun,Jun,1951,
5,5-Jun,Jun,1951,
6,6-Jun,Jun,1951,
7,7-Jun,Jun,1951,
8,8-Jun,Jun,1951,
9,9-Jun,Jun,1951,
10,10-Jun,Jun,1951,
11,11-Jun,Jun,1951,
12,12-Jun,Jun,1951,
13,13-Jun,Jun,1951,
14,14-Jun,Jun,1951,
15,15-Jun,Jun,1951,
