Day,Day_month,Month,Year,TSVALUE_UPDATED
01,01-Jan,Jan,1949,0
02,02-Jan,Jan,1949,0
03,03-Jan,Jan,1949,0
04,04-Jan,Jan,1949,0
05,05-Jan,Jan,1949,0
06,06-Jan,Jan,1949,0
07,07-Jan,Jan,1949,0
08,08-Jan,Jan,1949,0
09,09-Jan,Jan,1949,0
10,10-Jan,Jan,1949,0
11,11-Jan,Jan,1949,0
12,12-Jan,Jan,1949,0
13,13-Jan,Jan,1949,0
14,14-Jan,Jan,1949,0
15,15-Jan,Jan,1949,0
16,16-Jan,Jan,1949,0
17,17-Jan,Jan,1949,0
18,18-Jan,Jan,1949,0
19,19-Jan,Jan,1949,3
20,20-Jan,Jan,1949,0
21,21-Jan,Jan,1949,0
22,22-Jan,Jan,1949,0
23,23-Jan,Jan,1949,0
24,24-Jan,Jan,1949,0
25,25-Jan,Jan,1949,0
26,26-Jan,Jan,1949,0
27,27-Jan,Jan,1949,0
28,28-Jan,Jan,1949,0
29,29-Jan,Jan,1949,0
30,30-Jan,Jan,1949,0
31,31-Jan,Jan,1949,0
01,01-Feb,Feb,1949,0
02,02-Feb,Feb,1949,0
03,03-Feb,Feb,1949,0
04,04-Feb,Feb,1949,0
05,05-Feb,Feb,1949,0
06,06-Feb,Feb,1949,0
07,07-Feb,Feb,1949,0
08,08-Feb,Feb,1949,0
09,09-Feb,Feb,1949,0
10,10-Feb,Feb,1949,0
11,11-Feb,Feb,1949,0
12,12-Feb,Feb,1949,0
13,13-Feb,Feb,1949,0
14,14-Feb,Feb,1949,16
15,15-Feb,Feb,1949,1
16,16-Feb,Feb,1949,0
17,17-Feb,Feb,1949,0
18,18-Feb,Feb,1949,0
19,19-Feb,Feb,1949,0
20,20-Feb,Feb,1949,0
21,21-Feb,Feb,1949,0
22,22-Feb,Feb,1949,0
23,23-Feb,Feb,1949,0
24,24-Feb,Feb,1949,0
25,25-Feb,Feb,1949,0
26,26-Feb,Feb,1949,0
27,27-Feb,Feb,1949,0
28,28-Feb,Feb,1949,0
01,01-Mar,Mar,1949,0
02,02-Mar,Mar,1949,0
03,03-Mar,Mar,1949,0
04,04-Mar,Mar,1949,0
05,05-Mar,Mar,1949,0
06,06-Mar,Mar,1949,0
07,07-Mar,Mar,1949,0
08,08-Mar,Mar,1949,0
09,09-Mar,Mar,1949,0
10,10-Mar,Mar,1949,0
11,11-Mar,Mar,1949,0
12,12-Mar,Mar,1949,0
13,13-Mar,Mar,1949,0
14,14-Mar,Mar,1949,0
15,15-Mar,Mar,1949,0
16,16-Mar,Mar,1949,0
17,17-Mar,Mar,1949,0
18,18-Mar,Mar,1949,0
19,19-Mar,Mar,1949,0
20,20-Mar,Mar,1949,0
21,21-Mar,Mar,1949,48
22,22-Mar,Mar,1949,22
23,23-Mar,Mar,1949,0
24,24-Mar,Mar,1949,0
25,25-Mar,Mar,1949,0
26,26-Mar,Mar,1949,0
27,27-Mar,Mar,1949,0
28,28-Mar,Mar,1949,0
29,29-Mar,Mar,1949,0
30,30-Mar,Mar,1949,0
31,31-Mar,Mar,1949,0
01,01-Apr,Apr,1949,0
02,02-Apr,Apr,1949,0
03,03-Apr,Apr,1949,0
04,04-Apr,Apr,1949,1
05,05-Apr,Apr,1949,3
06,06-Apr,Apr,1949,0
07,07-Apr,Apr,1949,0
08,08-Apr,Apr,1949,0
09,09-Apr,Apr,1949,0
10,10-Apr,Apr,1949,8
11,11-Apr,Apr,1949,0
12,12-Apr,Apr,1949,0
13,13-Apr,Apr,1949,0
14,14-Apr,Apr,1949,0
15,15-Apr,Apr,1949,63
16,16-Apr,Apr,1949,86
17,17-Apr,Apr,1949,12
18,18-Apr,Apr,1949,1
19,19-Apr,Apr,1949,8
20,20-Apr,Apr,1949,0
21,21-Apr,Apr,1949,0
22,22-Apr,Apr,1949,21
23,23-Apr,Apr,1949,0
24,24-Apr,Apr,1949,0
25,25-Apr,Apr,1949,0
26,26-Apr,Apr,1949,0
27,27-Apr,Apr,1949,0
28,28-Apr,Apr,1949,28
29,29-Apr,Apr,1949,33
30,30-Apr,Apr,1949,3
01,01-May,May,1949,70
02,02-May,May,1949,0
03,03-May,May,1949,13
04,04-May,May,1949,5
05,05-May,May,1949,21
06,06-May,May,1949,40
07,07-May,May,1949,0
08,08-May,May,1949,0
09,09-May,May,1949,0
10,10-May,May,1949,0
11,11-May,May,1949,0
12,12-May,May,1949,0
13,13-May,May,1949,6
14,14-May,May,1949,1
15,15-May,May,1949,5
