Day,Day_month,Month,Year,TSVALUE_UPDATED,,
01,01-Feb,Feb,1956,0,,
02,02-Feb,Feb,1956,0,,
03,03-Feb,Feb,1956,0,,
04,04-Feb,Feb,1956,0,,
05,05-Feb,Feb,1956,0,,
06,06-Feb,Feb,1956,0,,
07,07-Feb,Feb,1956,0,,
08,08-Feb,Feb,1956,0,,
09,09-Feb,Feb,1956,0,,
10,10-Feb,Feb,1956,0,,
11,11-Feb,Feb,1956,0,,
12,12-Feb,Feb,1956,0,,
13,13-Feb,Feb,1956,0,,
14,14-Feb,Feb,1956,0,,
15,15-Feb,Feb,1956,0,,
16,16-Feb,Feb,1956,0,,
17,17-Feb,Feb,1956,0,,
18,18-Feb,Feb,1956,0,,
19,19-Feb,Feb,1956,0,,
20,20-Feb,Feb,1956,0,,
21,21-Feb,Feb,1956,0,,
22,22-Feb,Feb,1956,0,,
23,23-Feb,Feb,1956,0,,
24,24-Feb,Feb,1956,0,,
25,25-Feb,Feb,1956,0,,
26,26-Feb,Feb,1956,0,,
27,27-Feb,Feb,1956,0,,
28,28-Feb,Feb,1956,0,,
29,29-Feb,Feb,1956,0,,
01,01-Mar,Mar,1956,0,,
02,02-Mar,Mar,1956,0,,
03,03-Mar,Mar,1956,0,,
04,04-Mar,Mar,1956,0,,
05,05-Mar,Mar,1956,0,,
06,06-Mar,Mar,1956,0,,
07,07-Mar,Mar,1956,0,,
08,08-Mar,Mar,1956,0,,
09,09-Mar,Mar,1956,0,,
10,10-Mar,Mar,1956,0,,
11,11-Mar,Mar,1956,0,,
12,12-Mar,Mar,1956,0,,
13,13-Mar,Mar,1956,0,,
14,14-Mar,Mar,1956,0,,
15,15-Mar,Mar,1956,0,,
16,16-Mar,Mar,1956,0,,
17,17-Mar,Mar,1956,0,,
18,18-Mar,Mar,1956,0,,
19,19-Mar,Mar,1956,0,,
20,20-Mar,Mar,1956,0,,
21,21-Mar,Mar,1956,0,,
22,22-Mar,Mar,1956,0,,
23,23-Mar,Mar,1956,0,,
24,24-Mar,Mar,1956,0,,
25,25-Mar,Mar,1956,0,,
26,26-Mar,Mar,1956,0,,
27,27-Mar,Mar,1956,0,,
28,28-Mar,Mar,1956,0,,
29,29-Mar,Mar,1956,0,,
30,30-Mar,Mar,1956,2,,
31,31-Mar,Mar,1956,0,,
01,01-Apr,Apr,1956,4,,
02,02-Apr,Apr,1956,0,,
03,03-Apr,Apr,1956,0,,
04,04-Apr,Apr,1956,22,,
05,05-Apr,Apr,1956,26,,
06,06-Apr,Apr,1956,18,,
07,07-Apr,Apr,1956,15,,
08,08-Apr,Apr,1956,4,,
09,09-Apr,Apr,1956,0,,
10,10-Apr,Apr,1956,0,,
11,11-Apr,Apr,1956,20,,
12,12-Apr,Apr,1956,0,,
13,13-Apr,Apr,1956,0,,
14,14-Apr,Apr,1956,0,,
15,15-Apr,Apr,1956,0,,
16,16-Apr,Apr,1956,0,,
17,17-Apr,Apr,1956,0,,
18,18-Apr,Apr,1956,0,,
19,19-Apr,Apr,1956,0,,
20,20-Apr,Apr,1956,0,,
21,21-Apr,Apr,1956,0,,
22,22-Apr,Apr,1956,8,,
23,23-Apr,Apr,1956,0,,
